Name,lon,lat,ca_house,ca_sen,name,geoid,geometry
Sacramento River at Fremont,-121.6480572982806,38.76498616142358,4,3,Sutter,06101,"c(-121.648057298281, 38.7649861614236)"
XS SAC,-121.6299185993334,38.67565293619599,4,3,Yolo,06113,"c(-121.629918599333, 38.675652936196)"
SAC-Meridian,-121.943861076514,39.19636770946396,3,4,Colusa,06011,"c(-121.943861076514, 39.196367709464)"
Mokelumne River,-121.4760408750354,38.25620620677643,13,5,Sacramento,06067,"c(-121.476040875035, 38.2562062067764)"
Cosumnes-Slough,-121.423757475101,38.26050471426585,9,3,Sacramento,06067,"c(-121.423757475101, 38.2605047142658)"
Cosumnes River at RR,-121.4329755057894,38.25779165776527,9,3,Sacramento,06067,"c(-121.432975505789, 38.2577916577653)"
Cosumnes River-Slough,-121.4229512292546,38.25480803738218,9,3,Sacramento,06067,"c(-121.422951229255, 38.2548080373822)"
Rio Vista,-121.6838504739494,38.15579365687781,11,3,Sacramento,06067,"c(-121.683850473949, 38.1557936568778)"
Delta Intertidal,-121.6716607114736,38.33032437295977,4,3,Yolo,06113,"c(-121.671660711474, 38.3303243729598)"
Sacramento River,-121.5989251395403,38.64967215719138,4,3,Yolo,06113,"c(-121.59892513954, 38.6496721571914)"
Lower Sacramento,-121.6488780272758,38.17196371018361,11,3,Sacramento,06067,"c(-121.648878027276, 38.1719637101836)"
McCormack-Williamson Tract Intertidal,-121.4947477010757,38.23093682957953,11,3,Sacramento,06067,"c(-121.494747701076, 38.2309368295795)"
Cosumnes River Floodplain,-121.3955732071772,38.27176803664793,9,3,Sacramento,06067,"c(-121.395573207177, 38.2717680366479)"
Sutter Bypass Floodplain,-121.7600216189231,39.10135624531885,3,4,Sutter,06101,"c(-121.760021618923, 39.1013562453188)"
Yolo Bypass Floodplain,-121.6590026447744,38.70607346616563,4,3,Yolo,06113,"c(-121.659002644774, 38.7060734661656)"
SAC-Butte_Slough_Outfall,-121.9357277983467,39.19523332625064,3,4,Sutter,06101,"c(-121.935727798347, 39.1952333262506)"
SAC_RD70_Pump,-121.8627984229343,39.06842732596679,3,4,Sutter,06101,"c(-121.862798422934, 39.0684273259668)"
Rough_and_Ready,-121.7933927294355,38.86160675038337,4,3,Yolo,06113,"c(-121.793392729435, 38.8616067503834)"
SAC-El_Dorado,-121.784751353747,38.85710109416475,4,3,Yolo,06113,"c(-121.784751353747, 38.8571010941647)"
Feather-Lundberg_Farms,-121.6279966039863,38.79325148668549,3,4,Sutter,06101,"c(-121.627996603986, 38.7932514866855)"
Sutter_Bypass-Lundberg_Farms,-121.6534034836191,38.78743501009448,3,4,Sutter,06101,"c(-121.653403483619, 38.7874350100945)"
Butte_Slough-Meridian_Pass,-121.9089867339845,39.18732537944545,3,4,Sutter,06101,"c(-121.908986733985, 39.1873253794454)"
SAC-DS of Butte Slough Outfall,-121.9353192118174,39.19271802337387,3,4,Sutter,06101,"c(-121.935319211817, 39.1927180233739)"
SAC at Knights Landing Outfall,-121.7218536441864,38.80193952811602,4,3,Yolo,06113,"c(-121.721853644186, 38.801939528116)"
